H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
197,37,33,173,58,62,43,74,91,27,87,96,12,76,91
355,78,90,105,55,98,182,43,86,203,39,62,215,50,34
74,32,42,88,38,21,52,94,100,32,65,87,28,67,74
199,64,90,192,70,74,200,95,28,43,100,100,32,100,98
201,100,29,0,69,84,31,100,97,40,97,99,51,55,92
346,84,94,42,100,100,164,95,84,195,83,70,195,83,30
214,35,50,202,46,85,182,82,99,12,83,93,218,23,25
193,34,40,51,100,100,36,72,88,359,58,62,358,77,33
97,13,82,133,18,66,165,19,47,186,21,32,201,20,27
194,100,65,183,100,73,58,89,99,29,97,100,4,82,94
197,93,55,187,97,56,174,100,66,167,98,76,63,69,95
207,95,15,100,100,100,174,62,77,353,81,91,35,100,100
323,73,37,349,96,60,29,96,98,23,84,89,192,72,36
239,94,37,201,100,71,190,100,85,189,75,94,190,77,97
70,53,88,57,67,96,95,35,87,18,81,95,7,44,64
46,15,85,82,20,69,119,19,51,131,22,35,150,20,31
174,21,24,184,66,47,22,41,93,6,57,77,7,53,47
262,100,60,326,100,62,340,100,100,20,100,100,44,100,100
1,61,44,37,42,73,22,47,26,25,57,60,43,100,100
132,29,40,98,32,60,78,51,79,43,57,95,359,47,74
217,100,42,212,100,53,209,100,62,47,100,99,50,100,100
204,56,48,181,49,65,154,53,80,134,75,93,126,81,98
209,77,40,48,83,98,47,87,96,28,83,93,10,94,98
203,37,30,24,99,100,44,97,99,90,34,76,162,23,61
196,64,62,174,79,76,37,100,100,40,88,100,358,99,100
90,1,32,1,85,95,48,100,100,198,63,63,170,40,76
205,100,14,188,68,43,35,100,100,29,100,100,15,78,47
209,100,15,155,11,55,42,82,96,1,97,75,3,99,55
120,38,16,113,33,34,92,45,47,78,33,66,65,78,95
0,0,100,195,100,12,205,100,35,195,100,65,197,100,91
15,94,13,10,85,38,7,85,58,16,92,74,39,92,96
179,49,91,192,50,80,203,58,40,205,100,100,202,57,83
190,69,48,192,43,71,190,42,80,24,22,93,35,100,100
39,100,100,338,85,85,335,52,56,178,60,51,187,62,87
30,83,98,356,100,100,347,62,85,338,49,65,337,77,27
146,43,43,146,32,58,60,93,100,14,100,100,29,64,84
202,20,94,212,51,47,204,39,73,207,74,95,80,1,55
186,71,54,194,85,38,2,70,86,40,100,100,330,2,20
210,17,40,215,27,60,208,52,92,240,100,100,4,99,100
229,19,26,218,19,46,180,1,75,0,0,100,18,83,94
7,80,93,57,72,96,172,23,76,184,31,66,87,22,92
92,33,70,50,83,96,28,88,96,160,22,56,357,46,74
122,33,89,151,28,73,190,24,55,186,26,39,206,24,35
25,97,80,26,77,89,35,100,100,40,100,100,37,100,100
349,98,47,39,92,97,29,72,86,16,69,85,3,67,76
240,1,87,280,3,78,210,4,30,206,16,41,192,73,63
16,100,100,26,85,97,60,49,94,206,100,54,206,72,62
37,82,93,352,60,82,188,100,55,207,49,56,200,100,36
52,43,35,39,79,93,30,85,95,21,90,96,14,64,47
17,70,87,44,54,91,198,21,48,197,33,87,0,0,92
211,28,22,207,27,27,49,23,72,41,79,95,24,85,95
22,91,97,32,92,98,162,46,81,187,100,79,213,65,54
86,67,91,153,57,83,195,53,65,242,18,45,289,19,34
197,94,12,197,66,35,196,24,57,126,15,76,79,55,96
202,77,33,186,89,55,207,51,92,358,100,100,357,75,78
0,0,84,55,100,100,49,100,100,0,0,13,120,2,21
76,100,100,164,95,84,187,73,67,346,84,94,42,100,100
200,100,98,202,95,79,199,100,58,202,100,33,200,75,14
226,60,16,218,100,33,209,95,47,193,80,64,20,60,100
216,92,27,205,92,37,149,21,64,35,53,85,15,55,84
352,70,84,13,90,96,248,31,31,173,70,60,71,58,85
201,100,65,205,100,100,39,100,100,338,85,85,335,52,56
256,46,16,187,52,45,177,45,56,36,68,95,25,44,87
22,78,92,5,54,78,4,66,68,358,70,51,3,91,33
197,93,55,205,42,63,212,60,98,89,47,58,68,100,75
203,30,35,206,46,54,201,51,85,39,92,96,21,89,95
211,87,47,60,38,92,47,87,96,28,83,93,10,94,98
238,35,25,254,29,45,40,100,100,183,81,64,195,67,49
181,69,88,206,46,54,203,30,35,39,92,96,21,89,95
349,64,64,45,44,85,35,67,85,22,60,74,197,29,28
0,32,34,12,88,95,37,74,96,180,83,58,181,73,46
193,100,39,192,100,81,147,100,100,171,63,63,124,67,90
46,74,98,88,25,84,152,28,75,176,31,69,138,25,49
211,66,67,200,67,85,174,37,75,47,99,100,26,83,92
191,95,84,195,89,53,50,94,94,42,100,100,1,79,87
225,30,64,225,40,46,46,83,96,19,89,96,5,91,97
194,33,24,195,37,55,172,25,66,129,22,76,95,32,88
206,51,56,203,48,65,90,8,86,202,61,36,194,52,84
203,94,39,187,47,43,139,12,60,61,26,71,40,98,100
1,100,100,0,0,85,60,100,100,179,100,81,53,100,100
207,95,15,352,93,97,172,80,92,100,100,100,35,100,100
184,19,86,183,40,83,186,52,84,195,100,65,199,100,29
195,70,37,187,97,56,114,88,99,211,35,56,355,87,96
